@relation ionosphere-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-V-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute class {b,g}

@data
1,0,0.84099,0.148899,0.91166,0.60954,0.733215,0.66431,0.628975,0.79152,1,0.390824,0.5053,0.820403,0.5053,0.626494,0.593405,0.70584,0.552835,0.681765,0.521625,0.653725,0.499585,0.62468,0.48569,0.597025,0.47843,0.572405,0.476105,0.45477,0.477075,0.53532,0.479935,0.52293,b
1,0,0.916835,0.502721,0.827705,0.788355,0.67481,0.853385,0.586465,0.894735,0.40512,0.893632,0.291355,0.945391,0.157895,0.68072,0.126375,0.59746,0.1391,0.475565,0.18985,0.359025,0.254175,0.232685,0.367115,0.16993,0.49235,0.15147,0.61354,0,0.7155,0.24397,0.82331,0.349625,g
0,0,0,1,0.5,0.5,0.5,0.5,0,1,1,1,0.5,0.567663,0.5,0.389007,1,0,0,1,1,1,0.5,0.5,0,0,1,0,1,1,0,1,0.5,0.5,b
1,0,0.5,0.274511,0.5,0.5,0.5,0.5,0,1,0.5,0.471174,1,0.779588,0.44,0.315688,0.5,0.5,0,0,0.5,0.5,1,0,0.5,0.5,1,0.613335,0.5,0.391831,0.5,0.5,0.5,0.5,b
1,0,1,1,0.5,0.5,0.5,0.5,0.5,0.5,0.73872,0,0.24248,0.825887,0.022555,0.563574,0.82331,1,0.5,0.5,0.5,0.5,0.81015,0.601505,0,0,1,0,1,1,0.5,0.5,0.5,0.5,b
1,0,0.949175,0.529571,0.836665,0.811165,0.71949,0.971765,0.481785,0.90255,0.38581,0.86956,0.374315,0.844773,0.213115,0.562621,0.16625,0.552955,0.263205,0.469035,0.09472,0.469945,0.334015,0.26204,0.435515,0.2319,0.53579,0.240375,0.621605,0.127411,0.68293,0.349715,0.714025,0.566485,g
1,0,1,0.167472,1,0.52459,0.786885,0.491805,0.82787,0.508195,0.92623,0.453833,0.860655,0.567663,0.84426,0.288847,0.59836,0.42623,0.82779,0.41412,0.836065,0.516395,1,0.35246,0.65574,0.32787,0.761925,0.398375,0.663935,0.371889,0.639345,0.27869,0.7459,0.467215,b
1,0,0.69643,0.654529,0.10588,0.55671,0.41686,0.11811,0.833335,0.50595,0.910715,0.685221,0.16385,0.7421,0.326015,0,0.732145,0.57738,0.77381,0.52976,0.24085,0.724805,0.261745,0.26203,0.660715,0.85119,0.759855,0.69424,0.785715,0.630756,0.225545,0.350425,0.627205,0.220815,b
1,0,0.2291,0.382326,0.33127,0.866875,0.76006,0.43034,0.659445,0.465945,0.603715,0.390951,0.73684,0.618627,0.781735,0.294425,0.582045,0.726005,0.66873,0.51703,0.75232,0.535605,0.181115,0.19195,1,0.828175,0.70674,0.29942,0.42415,0.459618,0.511995,0.7791,0.76316,0.45511,b
1,0,0.91754,0.334712,0.868695,0.42647,0.921745,0.472165,0.952205,0.47689,0.946955,0.540609,0.905985,0.605826,0.896535,0.334451,1,0.489495,0.983195,0.53309,0.938025,0.505775,0.887605,0.53309,0.97689,0.47899,0.917395,0.500615,1,0.469768,0.9333,0.44643,0.95273,0.478465,g
1,0,1,0.266668,1,0.486485,1,0.46757,0.975675,0.49189,0.994595,0.454024,0.994595,0.61676,1,0.349378,0.975675,0.545945,0.98919,0.497295,1,0.53243,1,0.52162,0.98919,0.545945,0.99278,0.506255,1,0.372108,1,0.513515,1,0.464865,g
1,0,0.96154,0.386606,0.931995,0.648785,0.86291,0.68395,0.85294,0.78415,0.787245,0.802848,0.71635,0.99157,0.658525,0.802631,0.59564,0.88409,0.52343,0.880855,0.43968,0.884845,0.407605,0.856635,0.353545,0.82854,0.30601,0.792765,0.266005,0.696712,0.23427,0.70366,0.218845,0.675475,g
1,0,0.95588,0.210493,0.985295,0.588235,0.911765,0.54412,0.95588,0.485295,0.985295,0.377852,0.985295,0.651143,0.97059,0.406976,1,0.5,1,0.5,0.882355,0.558825,0.941175,0.514705,0.92647,0.514705,0.963315,0.513,0.97059,0.32028,0.985295,0.52941,0.95588,0.52941,g
1,0,1,0.205415,0,0,0,0,1,0.65873,0.906745,0.874086,0,0,0,1,0.73682,1,1,1,0.844195,0,0,0,0.914685,0.68254,1,1,1,0.700744,0,0.3373,0,0.864155,b
1,0,0.366665,0.564706,0.363485,0.560795,0.41111,0.47778,0.53096,0.465605,0.522305,0.484791,0.495575,0.583137,0.49207,0.387993,0.499535,0.495585,0.50235,0.499235,0.50069,0.50119,0.49943,0.50051,0.499655,0.49975,0.500095,0.499785,0.50013,0.391861,0.5,0.500075,0.49996,0.50001,b
