@relation ionosphere-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute class {b,g}

@data
1,0,0.5,0.5,0.5,0.5,1,1,0,0,0.343125,0.5,1,0.444445,0.5,0.5,0.482144,0.5,0,1,1,1,1,0,0.5,0.5,1,0,0.5,0.5,0.5,0.5,1,1,b
0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,b
1,0,0.905715,0.51857,0.925715,0.499285,0.895,0.291467,0.897855,0.47857,0.918357,0.5,0.927855,0.46643,0.932145,0.50143,0.911224,0.472855,0.905,0.440715,0.884285,0.457855,0.92143,0.475,0.885,0.465715,0.847911,0.456655,0.912855,0.447855,0.907145,0.475,0.910715,0.424285,g
0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,b
1,0,0.59295,0.416665,0.5,0.5,0.5,0.286372,0.5,0.5,0.343125,0.5,0.55769,0.404645,0.5,0.5,0.482144,0.5,0.5,0.5,0.5,0.5,0.47436,0.467145,0.539265,0.54487,0.316567,0.445515,0.5625,0.548075,0.51282,0.47596,0.584135,0.597755,b
1,0,0.5,0.5,0.994595,0.386485,0.594595,0.2478,0.5,0.5,0.955615,0.536485,1,0.4,1,0.535135,1,0.443245,0.5,0.5,1,0.394595,1,0.29189,0.5,0.5,1,0.41216,0.5,0.5,1,0.37027,0.644595,0.42162,b
1,0,0.952735,0.705565,0.82677,0.873805,0.649605,0.970777,0.43329,0.9891,0,0.916315,0.101715,0.77543,0.016845,0.57596,0.000533,0.37223,0.140685,0.203105,0.29227,0.073975,0.48875,0.03106,0.68159,0.07316,0.731708,0.190205,0.929885,0.359385,0.94327,0.549,0.877475,0.731505,g
1,0,1,0.48135,1,0.463085,0.998005,0.207594,0.99919,0.450345,0.993044,0.43093,0.98337,0.391525,0.97644,0.374505,0.954615,0.328,0.952905,0.33924,0.949955,0.326545,0.93937,0.311785,0.931065,0.28505,0.86092,0.28439,0.907165,0.287035,0.889595,0.260115,0.875575,0.24924,g
1,0,0.925065,0.509045,0.961055,0.50728,0.96023,0.301929,0.963825,0.54005,0.918528,0.55685,0.955805,0.5216,0.95369,0.52509,0.934434,0.51421,0.97933,0.5,0.945485,0.535235,0.94215,0.538485,0.918605,0.554265,0.891921,0.54475,0.937985,0.54393,0.92599,0.55067,0.92129,0.55349,g
1,0,0.940515,0.495715,0.94909,0.487675,0.970525,0.27337,0.945875,0.436225,0.883129,0.44534,0.944265,0.505895,0.95391,0.431405,0.933393,0.469455,0.95391,0.48821,0.93998,0.427115,0.914255,0.437835,0.950695,0.402465,0.902847,0.425485,0.92176,0.43569,0.94212,0.40729,0.958735,0.415865,g
1,0,0.980355,0.53544,1,0.52148,1,0.352832,0.950845,0.47428,0.929471,0.5129,0.91625,0.46929,0.93767,0.549155,0.878532,0.5014,0.87603,0.473525,0.829805,0.460475,0.82079,0.470355,0.778385,0.461475,0.6533,0.488975,0.74832,0.493745,0.75655,0.499925,0.760495,0.49909,g
0,0,0.5,0.5,0.5,0.5,0.5,0.286372,0.5,0.5,0.343125,0.5,0.5,0.5,0.5,0.5,0.482144,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0.5,0.5,0.5,0.5,b
0,0,0,0,0.5,0.5,0.5,0.286372,0.5,0.5,0.343125,0.5,0.5,0.5,1,0,0.482144,0.5,0,0,0.5,0.5,1,1,1,0,1,0,0.5,0.5,0.5,0.5,0.5,0.5,b
